ProvEN,T_H_0115,T_H_0116,T_H_0117,T_H_0118,T_H_0119,T_H_0120,T_H_0121,T_H_0122,T_H_0123,T_H_0124,T_H_0125,T_H_0126,T_H_0127,T_H_0128,T_H_0129,T_H_0130,T_H_0131,T_H_0201,T_H_0202,T_H_0203,T_H_0204,T_H_0205,T_H_0206,T_H_0207,T_H_0208,T_H_0209,T_H_0210,T_H_0211,T_H_0212,T_H_0213,T_H_0214,T_H_0215,T_H_0216,T_H_0217,T_H_0218,T_H_0219,T_H_0220,T_H_0221,T_H_0222,T_H_0223,T_H_0224,T_H_0225,T_H_0226,T_H_0227,T_H_0228,T_H_0229,T_H_0301,T_H_0302,T_H_0303,T_H_0304,T_H_0305,T_H_0306,T_H_0307,T_H_0308,T_H_0309,T_H_0310,T_H_0311,T_H_0312,T_H_0313,T_H_0314,T_H_0315,T_H_0316,T_H_0317,T_H_0318,T_H_0319,T_H_0320,T_H_0321,T_H_0322,T_H_0323,T_H_0324,T_H_0325,T_H_0326,T_H_0327,T_H_0328,T_H_0329,T_H_0330,T_H_0331,T_H_0401,T_H_0402,T_H_0403,T_H_0404,T_H_0405,T_H_0406,T_H_0407,T_H_0408,T_H_0409,T_H_0410,T_H_0411,T_H_0412,T_H_0413,T_H_0414,T_H_0415,T_H_0416,T_H_0417,T_H_0418,T_H_0419
Beijing,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,5,5,9,12,23,24,31,33,34,37,44,48,56,68,79,97,105,114,122,145,153,169,178,189,198,215,235,248,257,271,276,276,282,288,297,298,303,303,315,320,326,334,344,342,353,353,368,373,379,384,392,398,400,401,401,403,406,409,411,412,416,418,418,434,438,441,443,448,455,464,469,474,479,484,491,495,503,509,509,510,514
Tianjin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,4,4,8,10,11,21,32,37,45,46,48,54,59,62,65,81,87,91,96,102,105,109,111,118,124,128,128,128,128,129,130,131,132,132,132,132,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,135,135,140,140,144,144,151,152,152,154,158,161,161,164,168,171,172,173,173,174
Hebei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,7,16,25,30,35,41,48,54,69,86,100,109,123,136,152,170,184,204,221,241,248,261,274,277,283,294,297,300,301,304,305,307,307,307,307,307,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,312,313,313,313,313,313,314,314,315,316,316,316,317
Shanxi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,4,6,12,15,21,25,26,30,33,36,38,46,50,53,61,68,76,78,81,88,94,98,104,107,112,114,116,119,124,124,126,126,126,126,127,131,131,132,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,134,134,134,135,135,135,135,135,135,135,135,135,135
Neimenggu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,0,5,5,5,5,5,6,6,6,7,8,8,9,11,16,22,26,30,34,35,38,43,46,51,51,54,59,63,65,65,68,70,70,70,71,71,71,71,71,73,73,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,79,79,83,83,91,94,94,94,103,104,104
Liaoning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,4,6,7,12,12,17,19,22,22,29,32,41,43,55,58,61,66,68,73,83,88,92,93,95,101,103,103,106,106,106,106,108,109,110,111,111,112,113,113,114,119,122,122,122,122,122,124,124,124,124,124,124,124,124,124,124,124,124,125,125,128,130,131,131,132,133,136,136,138,138,138,140,142,142,143
Jilin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,4,4,5,12,13,18,22,25,25,28,30,34,36,40,44,46,52,54,60,63,65,68,73,75,78,83,84,86,88,90,90,90,91,91,91,91,91,91,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,93,95,96,96,96,96,96,96,97,97,97,97
Heilongjiang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,7,8,12,13,15,27,28,31,37,48,70,80,85,108,123,141,183,215,224,232,245,262,280,295,330,350,358,372,379,380,402,409,421,434,435,440,446,447,453,454,456,459,460,463,463,465,465,468,468,469,469,469,469,469,469,469,469,469,469,469,469,469,470,470,470,470,470,470,470,470,471,471,472,472,473
Shanghai,0,0,0,0,0,0,0,0,0,1,1,1,3,4,5,5,9,10,10,10,12,15,25,30,41,44,48,53,57,62,90,124,140,161,177,186,199,211,227,249,261,268,272,276,279,287,290,292,294,298,303,306,313,314,315,319,320,321,324,324,324,325,325,326,326,326,327,328,329,330,330,331,334,334,334,338,341,343,343,348,356,383,389,406,417,422,435,438,446,458,468,485,489,512,516,521
Jiangsu,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,5,6,7,8,13,26,38,43,51,72,84,94,131,137,160,190,226,263,296,325,352,387,411,427,458,463,494,506,519,529,536,555,565,580,588,601,610,618,621,627,628,630,630,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,632,633,633,633,633,633,633,634,638,638,641,642,642,643,643,643,643
Zhejiang,0,0,0,0,0,0,0,0,1,1,1,1,1,3,4,9,15,23,36,48,63,81,98,127,173,200,250,279,327,367,409,437,470,514,544,609,647,694,729,765,794,814,881,943,987,1027,1046,1068,1098,1126,1136,1159,1166,1173,1189,1202,1209,1209,1209,1211,1211,1216,1216,1217,1217,1219,1219,1219,1221,1221,1221,1222,1222,1225,1225,1225,1226,1226,1228,1228,1229,1230,1230,1230,1232,1235,1235,1236,1238,1239,1242,1244,1244,1246,1246,1247
Anhui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,7,14,20,23,34,47,59,73,88,108,128,166,198,232,266,293,361,424,500,566,620,648,692,727,764,814,842,868,888,917,941,956,970,975,981,984,984,984,984,984,984,984,984,984,984,984,984,984,984,984,984,984,984,984,984,984,984,984,984,984,984,984,984,984,984,984,984,984,984,984,984,984,984,984,984,984,984,984
Fujian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,11,15,20,24,35,39,46,54,59,66,77,84,91,96,112,134,150,165,174,188,205,225,232,241,243,247,255,261,269,278,284,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,298,299,301,301,304,305,307,308,310,312,321,325,329,331,333,334,336,339,339
Jiangxi,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,9,10,18,19,27,37,45,55,72,102,127,152,170,187,210,239,275,310,362,432,489,544,611,645,682,719,754,790,811,831,831,850,870,884,901,908,916,919,923,927,934,934,934,934,934,934,934,934,934,934,934,934,934,934,934,934,934,934,934,935,935,935,935,935,935,935,935,935,935,935,936,936,936,936,936,936,936,936,936,936
Shandong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,6,7,13,18,31,38,50,63,71,80,98,111,139,164,175,193,215,238,270,293,311,325,343,357,381,390,411,431,455,497,511,576,602,625,637,647,703,720,733,739,740,741,743,746,746,747,748,749,750,751,752,752,752,752,752,752,753,753,753,753,754,755,755,755,755,755,756,756,757,757,758,759,761,761,761,765,765,765
Henan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,14,20,41,54,68,97,131,169,198,231,258,313,356,397,438,505,552,614,717,802,861,930,989,1023,1062,1103,1161,1185,1205,1206,1234,1239,1241,1244,1246,1247,1247,1249,1249,1249,1249,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1251,1251,1251,1251,1251,1251,1251,1251,1252,1252,1252,1252,1252,1252,1253,1253,1254,1254,1254,1254,1254,1254,1254
Hubei,12,15,19,24,25,25,28,28,31,32,42,44,47,80,90,116,166,215,295,396,520,633,817,1115,1439,1795,2222,2639,3172,3862,4774,5623,6639,7862,9128,10337,11788,13557,15299,16738,18854,20912,23200,26403,28895,31187,33757,36167,36200,40479,40578,43468,45011,46433,47585,49056,50298,50316,51564,54278,55094,55987,56005,56886,58381,58942,59432,59879,60323,60810,61201,61731,62098,62565,62882,63153,63153,63326,63471,63762,63945,64014,64073,64142,64187,64236,64264,64281,64338,64338,64402,64435,64435,63494,63494,63511
Hunan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,16,22,35,56,91,119,159,186,213,263,312,352,389,430,467,501,542,578,638,670,704,721,751,779,793,820,841,853,876,886,913,933,946,959,965,979,988,995,998,1004,1009,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1015,1015,1015
Guangdong,0,0,0,0,0,0,0,0,2,2,2,2,4,5,6,9,0,12,14,20,32,49,68,97,125,143,181,241,284,332,386,436,473,530,571,619,664,720,740,772,805,841,873,919,972,1009,1034,1081,1095,1138,1209,1218,1240,1253,1260,1282,1288,1289,1299,1299,1304,1306,1307,1314,1318,1325,1325,1329,1333,1334,1334,1337,1337,1345,1351,1353,1356,1357,1368,1369,1378,1387,1395,1401,1423,1434,1434,1437,1443,1458,1462,1471,1475,1482,1490,1494
Guangxi,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,7,10,14,17,17,18,18,30,31,33,35,40,46,51,58,76,87,95,99,104,107,129,138,159,166,172,179,188,202,210,213,217,219,223,230,234,237,241,243,243,243,247,248,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252
Hainan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,4,5,8,11,15,19,19,20,27,30,38,39,52,59,79,84,89,96,104,106,116,124,129,132,136,148,148,151,155,158,158,158,158,159,159,159,160,160,160,160,160,161,161,161,161,161,161,161,161,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162
Chongqing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,7,9,14,15,24,31,39,51,66,79,102,128,152,184,207,225,254,274,299,316,328,335,349,372,384,401,422,438,450,469,490,502,512,513,526,527,542,547,554,564,566,566,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570
Sichuan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,12,14,23,27,37,50,60,76,82,85,93,105,115,127,136,163,177,198,222,242,256,263,278,292,310,326,350,363,378,389,400,406,428,448,457,465,470,484,494,500,510,515,516,520,520,525,536,536,536,536,536,536,536,536,536,536,536,536,536,537,537,538,539,540,541,541,541,546,547,547,548,548,550,552,552,552,554,554
Guizhou,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,5,6,6,6,7,7,10,17,20,28,33,37,47,66,69,71,76,90,91,102,103,104,112,112,112,112,114,114,114,114,114,115,117,123,123,133,137,140,143,143,143,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,145,145
Yunnan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,5,5,7,12,17,18,19,20,23,27,35,42,42,47,57,60,79,96,107,115,124,129,144,150,156,157,163,168,169,169,169,170,170,170,170,170,170,170,170,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,173,173,173,173,174,174,174,175,176,176,177,177,178,178
Xizang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Shaanxi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,11,9,17,20,26,31,36,44,49,53,64,79,89,89,110,117,140,153,175,186,194,197,200,207,209,216,218,222,224,226,226,227,227,227,232,232,232,232,232,233,236,237,237,237,239,239,239,240,240,242,242,242,242,242,242,242,242,244,245,246,246,246,246,246,246,248,248,248,248,251,252,252,252,252
Gansu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,6,9,9,12,16,21,24,31,39,44,49,54,58,62,65,71,76,76,78,80,80,81,82,82,82,84,85,86,87,87,87,87,87,88,88,88,88,89,90,91,91,91,91,98,113,113,114,118,119,121,123,125,125,125,125,125,127,127,131,131,131,132,133,135,135,135,135,135,135,136,136,137,137,137,137
Qinghai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,5,9,11,11,13,13,13,15,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Ningxia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,13,13,14,22,24,24,27,33,33,35,42,42,44,48,48,57,58,61,65,68,68,69,69,69,69,69,69,71,71,71,71,71,72,72,72,73,73,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Xinjiang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,6,11,12,12,14,20,22,24,25,28,30,30,34,43,52,62,64,67,68,69,70,71,72,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
SUM,12,15,19,24,25,25,28,28,34,37,47,49,58,104,126,172,234,327,479,644,892,1154,1534,2045,2652,3275,3996,4737,5640,6721,8089,9409,10842,12553,14377,16140,18258,20636,22876,24726,27324,29746,32496,36116,39002,41625,44430,47137,47437,51990,52314,55369,57045,58580,59875,61466,62793,62869,64153,66903,67740,68678,68713,69618,71144,71738,72240,72698,73158,73650,74046,74588,74963,75444,75769,76051,76062,76244,76427,76740,76951,77068,77159,77267,77362,77452,77512,77567,77651,77710,77811,77892,77916,77027,77048,77083
